"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","class_weight","dataset","es_metric","es_patience","gpu_ids","group","lr","mode","model","momentum","n_epochs","n_train_samples","name","no_pretrain","no_wandb","offline","project","scheduler_patience","seed","y_labels","test_accuracy","test_f1","test_precision","test_recall","train_accuracy","train_f1","train_loss","train_precision","train_recall","val_accuracy","val_f1","val_loss","val_precision","val_recall"
"alexnet_n=120_clf (2024.05.22. 12:08)","finished","-","","","2024-05-22T04:08:03.000Z","602","","100","false","fayoum","loss","30","[0,1]","alexnet_n=120_clf","0.0001","clf","alexnet","0.9","5000","120","alexnet_n=120_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.9027777910232544","0.9084249138832092","0.9246031641960144","0.9027777910232544","0.8914095759391785","0.8820213675498962","1.2175730429589748","0.8760226964950562","0.8914095759391785","0.8736263513565063","0.8863964080810547","11.772827833890917","0.912500023841858","0.8736263513565063"
"alexnet_n=8_clf (2024.05.22. 11:41)","finished","-","","","2024-05-22T03:41:59.000Z","11351","","100","false","fayoum","loss","30","[0,1]","alexnet_n=8_clf","0.0001","clf","alexnet","0.9","5000","8","alexnet_n=8_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.799342155456543","0.7480051517486572","0.7459150552749634","0.799342155456543","0.8249795436859131","0.8059861660003662","0.00003286219064400277","0.8016760945320129","0.8249795436859131","0.7994505763053894","0.7867604494094849","4.216522956887881","0.8070175051689148","0.7994505763053894"
"resnet50_n=120_clf (2024.05.22. 08:56)","finished","-","","","2024-05-22T00:56:26.000Z","11493","","100","false","fayoum","loss","30","[0,1]","resnet50_n=120_clf","0.0001","clf","resnet50","0.9","5000","120","resnet50_n=120_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8826754093170166","0.8681003451347351","0.8580542206764221","0.8826754093170166","0.978779673576355","0.969215989112854","3.787166252732277","0.9632352590560912","0.978779673576355","0.8781512975692749","0.8859788179397583","12.717653334140778","0.904365062713623","0.8781512975692749"
"resnet50_n=8_clf (2024.05.22. 07:51)","finished","-","","","2024-05-21T23:51:16.000Z","13839","","100","false","fayoum","loss","30","[0,1]","resnet50_n=8_clf","0.0001","clf","resnet50","0.9","5000","8","resnet50_n=8_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.7189327478408813","0.6962121725082397","0.7059295177459717","0.7189327478408813","0.7278382778167725","0.7099004983901978","0.0032714734023267574","0.7070047855377197","0.7278382778167725","0.8130252361297607","0.8078577518463135","5.235725561777751","0.8161764740943909","0.8130252361297607"
"alexnet_n=40_clf (2024.05.22. 07:09)","finished","-","","","2024-05-21T23:09:55.000Z","6387","","100","false","fayoum","loss","30","[0,1]","alexnet_n=40_clf","0.0001","clf","alexnet","0.9","5000","40","alexnet_n=40_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8541666269302368","0.8432309031486511","0.8520833253860474","0.8541666269302368","0.86539626121521","0.8537458777427673","0.024059366434812542","0.846103310585022","0.86539626121521","0.8543956279754639","0.8535470366477966","7.4511585384607315","0.8671365976333618","0.8543956279754639"
"alexnet_n=4_clf (2024.05.22. 05:25)","finished","-","","","2024-05-21T21:25:27.000Z","8744","","100","false","fayoum","loss","30","[0,1]","alexnet_n=4_clf","0.0001","clf","alexnet","0.9","5000","4","alexnet_n=4_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8263888359069824","0.8112835884094238","0.8405796885490417","0.8263888359069824","0.8069241046905518","0.7970902323722839","0.000008165421604644507","0.8341530561447144","0.8069241046905518","0.7220696210861206","0.7159919142723083","2.0731963298537512","0.7559524178504944","0.7220696210861206"
"resnet50_n=40_clf (2024.05.22. 05:19)","finished","-","","","2024-05-21T21:19:40.000Z","6611","","100","false","fayoum","loss","30","[0,1]","resnet50_n=40_clf","0.0001","clf","resnet50","0.9","5000","40","resnet50_n=40_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.7993420958518982","0.783193826675415","0.7942014336585999","0.7993420958518982","0.8552275896072388","0.8436241149902344","0.2847249209880829","0.834473729133606","0.8552275896072388","0.772786021232605","0.768207311630249","9.265284657478333","0.770588219165802","0.772786021232605"
"alexnet_n=20_clf (2024.05.22. 05:18)","finished","-","","","2024-05-21T21:18:03.000Z","93","","100","false","fayoum","loss","30","[0,1]","alexnet_n=20_clf","0.0001","clf","alexnet","0.9","5000","20","alexnet_n=20_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.7847222089767456","0.7379807829856873","0.718154788017273","0.7847222089767456","0.8083786964416504","0.7824552655220032","0.03660839878850513","0.7876679301261902","0.8083786964416504","0.7609890103340149","0.749459981918335","7.628672699133555","0.7561508417129517","0.7609890103340149"
"resnet50_n=20_clf (2024.05.22. 03:43)","finished","-","","","2024-05-21T19:43:12.000Z","5687","","100","false","fayoum","loss","30","[0,1]","resnet50_n=20_clf","0.0001","clf","resnet50","0.9","5000","20","resnet50_n=20_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.7576754689216614","0.711288332939148","0.7174603343009949","0.7576754689216614","0.8022356629371643","0.7837728261947632","0.04714551899168226","0.795073926448822","0.8022356629371643","0.6556237936019897","0.606071412563324","9.18554941813151","0.6013889312744141","0.6556237936019897"
"alexnet_n=8_clf (2024.05.22. 02:29)","finished","-","","","2024-05-21T18:29:37.000Z","4411","","100","false","fayoum","loss","30","[0,1]","alexnet_n=8_clf","0.0001","clf","alexnet","0.9","5000","8","alexnet_n=8_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.772295355796814","0.7416014671325684","0.7437343597412109","0.772295355796814","0.7797641754150391","0.775472104549408","0.000037971434225751594","0.7751131057739258","0.7797641754150391","0.7553329467773438","0.759920597076416","4.983171413342158","0.7686260938644409","0.7553329467773438"
"resnet50_n=4_clf (2024.05.22. 02:23)","finished","-","","","2024-05-21T18:23:19.000Z","10923","","100","false","fayoum","loss","30","[0,1]","resnet50_n=4_clf","0.0001","clf","resnet50","0.9","5000","4","resnet50_n=4_clf","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.6535818576812744","0.6068111658096313","0.6286810636520386","0.6535818576812744","0.5592070817947388","0.498620331287384","0.0014282322742722251","0.4880828261375427","0.5592070817947388","0.6244343519210815","0.5446428656578064","3.938816634091464","0.49166667461395264","0.6244343519210815"
"alexnet_n=all_all (2024.05.22. 02:20)","finished","-","","","2024-05-21T18:20:58.000Z","136","","100","false","fayoum","loss","30","[0,1]","alexnet_n=all_all","0.0001","all","alexnet","0.9","5000","-1","alexnet_n=all_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8458333015441895","0.8707184791564941","0.9375","0.8458333015441895","0.8721814155578613","0.8885098695755005","2.3198254369199276","0.9336859583854676","0.8721814155578613","0.8186813592910767","0.8226495981216431","11.126495689153671","0.8352227210998535","0.8186813592910767"
"resnet50_n=all_all (2024.05.22. 01:53)","finished","-","","","2024-05-21T17:53:06.000Z","1667","","100","false","fayoum","loss","30","[0,1]","resnet50_n=all_all","0.0001","all","resnet50","0.9","5000","-1","resnet50_n=all_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8819444179534912","0.8875000476837158","0.911931812763214","0.8819444179534912","1","1","1.0258743930608034","1","1","0.7664835453033447","0.7495710253715515","11.069512516260149","0.7875000238418579","0.7664835453033447"
"alexnet_n=120_all (2024.05.22. 01:41)","finished","-","","","2024-05-21T17:41:17.000Z","705","","100","false","fayoum","loss","30","[0,1]","alexnet_n=120_all","0.0001","all","alexnet","0.9","5000","120","alexnet_n=120_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.9236111044883728","0.9282296299934388","0.9375","0.9236111044883728","0.9225183129310608","0.9182700514793396","0.14042604016140103","0.9153050184249878","0.9225183129310608","0.8901098966598511","0.8914285898208618","9.960094377398493","0.89384925365448","0.8901098966598511"
"resnet50_n=120_all (2024.05.22. 00:16)","finished","-","","","2024-05-21T16:16:12.000Z","5100","","100","false","fayoum","loss","30","[0,1]","resnet50_n=120_all","0.0001","all","resnet50","0.9","5000","120","resnet50_n=120_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.9027777910232544","0.9084249138832092","0.9246031641960144","0.9027777910232544","0.982607364654541","0.9806509613990784","0.16144515248015523","0.978869080543518","0.982607364654541","0.9093406200408936","0.9145299196243286","7.831388548016548","0.9226190447807312","0.9093406200408936"
